Land;Region;Hautkrebs-Inzidenz;Melanom Erkrankungen pro Jahr;UV-Intensität (ø);Hattyp (ø)
Neuseeland;Australia;10;2473;6,88;4,75
Australien;Australia;9,67;12265;7,35;5,75
Schweiz;Europe;5,89;2484;2,8;7,75
Schweden;Europe;5,79;2911;1,28;9,75
Norwegen;Europe;5,71;1506;1;10
Niederlande;Europe;5,6;4804;2,42;8,75
Dänemark;Europe;5,57;1596;2,23;8,25
Slovenia;Europe;5,19;533;2,99;7,5
USA;North America;4,62;72000;4,98;6
Großbritannien;Europe;4,6;14445;2,33;9,25
Finnland;Europe;4,59;1208;1,19;9,5
Tschechien;Europe;4,38;2194;2,61;6,75
Deutschland;Europe;4,36;16884;2,42;7,25
Irland;Europe;4,02;859;2,04;8,25
Belgien;Europe;3,79;1941;2,61;7,25
Österreich;Europe;3,51;1334;2,42;6,75
Island;Europe;3,49;51;1,09;8,5
Frankreich;Europe;3,48;9871;2,52;5,25
Kanada;North America;3,41;5382;1,66;7,25
Slovakei;Europe;3,41;806;2,33;6,5
Serbien;Europe;3,32;1016;3,27;5,75
Estland;Europe;3,04;166;1,66;8,5
Lettland;Europe;2,84;225;1,95;8
Ungarn;Europe;2,84;1117;2,42;5,75
Spanien;Europe;2,74;5004;4,03;3,75
Littauen;Europe;2,53;275;2,33;7,5
Kroatien;Europe;2,39;365;3,08;5
Malta;Europe;2,37;36;5,17;4,5
Italien;Europe;2,35;5124;4,03;4,75
Israel;Middle East;2,13;593;6,02;5,25
Mazedonien;Europe;2,13;144;3,37;4,75
Polen;Europe;2,08;2583;2,23;7,5
Ukraine;Europe;2,04;2792;2,33;7
Bulgarien;Europe;1,98;439;3,94;5,25
Russland;Europe / Asia;1,95;8717;1,19;8
Zypern;Europe;1,95;52;5,17;3,5
Romänien;Europe;1,91;1121;3,27;4,75
Portugal;Europe;1,72;464;4,69;3,5
Griechenland;Europe;1,7;472;4,51;4
Montenegro;Europe;1,59;23;3,75;4,75
Südafrika;Africa;1,54;1858;7,25;4
Argentinien;South America;1,52;1460;3,65;4,25
Kolumbien;South America;1,49;1488;9,72;1,5
Brasilien;South America;1,47;6174;9,05;2
Bosnien und Herzegowina;Europe;1,44;106;3,27;5,75
Türkei;Europe / Asia;1,31;1552;4,32;4
Chile;South America;1,28;331;4,41;2,75
Mexiko;Central America;1,26;2031;7,35;3,75
Albanien;Europe;1,2;38;3,84;4,75
Südkorea;Asia;1,2;649;4,79;3
Japan;Asia;1,16;1371;5,07;3,5
China;Asia;1,1;9814;5,45;4,25
Iran;Middle East;1,1;531;5,17;2,75
Indonesien;Asia;1,05;1069;10;1,25
Philippinen;Asia;1,03;298;8,48;2,25
Nigeria;Africa;1,02;436;9,43;1
Saudi-Arabien;Middle East;1,02;58;7,35;2,75
Pakistan;Middle East;1,02;325;6,21;3
Indien;Asia;1,02;2100;7,82;2,25
Ägypten;Middle East;1;119;6,59;2,75
Irak;Middle East;1;49;5,64;2,75
Bangladesch;Asia;1;153;7,54;2











