Land;Sterblichkeitsrate;Ungleichheit der Lebenserwartung;Nationale Gesundheitsausgaben;Gesamtwertung;
Schweden;17.00%;3,11;4,20;8.4;
Schweiz;15.00%;3,92;2,81;8.4;
Italien;14.00%;3,35;6,32;8.9;
Dänemark;14.00%;3,96;4,28;9.0;
Deutschland;16.00%;3,68;4,93;9.2;
Norwegen;22.00%;3,36;3,44;9.3;
Australien;13.00%;4,21;4,98;9.3;
Belgien;15.00%;3,92;5,28;9.4;
Finnland;18.00%;3,53;5,82;9.4;
Island;25.00%;2,82;6,13;9.4;
Irland;16.00%;3,70;6,25;9.6;
Niederlande;18.00%;3,87;4,76;9.7;
Tschechien;15.00%;3,67;7,84;9.8;
Frankreich;19.00%;4,01;4,92;9.9;
Spanien;19.00%;3,86;6,61;10.1;
Neuseeland;15.00%;4,77;5,19;10.3;
Großbritannien;15.00%;4,48;6,14;10.3;
Portugal;23.00%;3,91;6,72;10.5;
Slowenien;24.00%;3,79;6,94;10.5;
Israel;24.00%;3,80;7,21;10.5;
Österreich;27.00%;3,74;4,76;10.7;
Kanada;21.00%;4,63;4,78;10.8;
USA;14.00%;6,19;1,20;10.9;
Zypern;27.00%;3,72;7,58;10.9;
Malta;17.00%;4,76;6,81;11.0;
Südkorea;41.00%;3,87;7,81;12.4;
Kroatien;26.00%;5,20;7,87;12.4;
Griechenland;43.00%;4,03;6,96;12.5;
Japan;50.00%;3,23;5,64;12.6;
Slowakei;23.00%;5,61;7,64;12.7;
Ungarn;31.00%;5,40;7,97;13.2;
Estland;34.00%;5,61;8,39;13.7;
Chile;37.00%;5,94;8,07;14.2;
Poland;52.00%;5,70;8,38;15.2;
Bosnien und Herzegowina;47.00%;6,68;7,63;15.2;
Littauen;39.00%;6,62;8,30;15.3;
Montenegro;30.00%;7,64;8,53;15.6;
Lettland;38.00%;7,57;8,59;16.3;
Mazedonien;47.00%;7,57;8,67;16.6;
Serbien;34.00%;8,53;7,43;16.7;
Bulgarien;43.00%;7,86;8,25;16.8;
Romänien;32.00%;8,76;8,88;17.3;
Saudi-Arabien;28.00%;8,73;9,19;17.4;
Argentinen;39.00%;9,27;8,83;18.2;
Russland;42.00%;9,84;8,28;19.3;
Ukraine;40.00%;10,39;8,43;19.3;
Mexiko;30.00%;10,93;8,61;19.6;
Albanien;58.00%;9,93;9,00;20.0;
China;63.00%;9,84;9,09;20.2;
Türkei;41.00%;11,05;8,92;20.5;
Iran;39.00%;12,47;8,43;22.0;
Kolumbien;22.00%;13,55;8,48;22.0;
Ägypten;45.00%;13,43;9,17;23.4;
Brasilien;32.00%;14,54;7,80;23.8;
Philippinen;46.00%;15,19;9,43;25.5;
Indonesien;51.00%;16,44;9,96;27.5;
Irak;53.00%;17,65;9,27;29.0;
Bangladesch;62.00%;20,09;9,94;32.3;
Sdafrika;26.00%;25,73;7,84;36.6;
Indien;53.00%;24,97;9,47;43.9;
Pakistan;63.00%;29,90;10,00;27,68;
Nigeria;67.00%;40,79;9,73;57,00;










